Date_JST,TimeRange_JST,PriceMovement,MaxHigh_in_Range,MinLow_in_Range
2019-05-01,07:00-09:00,0.0,,
2019-05-01,09:00-12:00,5.800000000000182,1991.14,1985.34
2019-05-01,12:00-15:00,3.25,1991.14,1987.89
2019-05-01,15:00-21:00,4.190000000000055,1992.89,1988.7
2019-05-01,21:00-24:00,5.380000000000109,1991.99,1986.61
2019-05-01,00:00-03:00,0.0,,
2019-05-01,03:00-07:00,0.0,,
2019-05-02,07:00-09:00,5.75,1985.22,1979.47
2019-05-02,09:00-12:00,4.339999999999918,1984.34,1980.0
2019-05-02,12:00-15:00,4.620000000000118,1984.41,1979.79
2019-05-02,15:00-21:00,4.670000000000073,1985.9,1981.23
2019-05-02,21:00-24:00,6.420000000000073,1982.26,1975.84
2019-05-02,00:00-03:00,6.900000000000091,1990.47,1983.57
2019-05-02,03:00-07:00,13.959999999999809,1988.86,1974.9
2019-05-03,07:00-09:00,5.960000000000036,1957.78,1951.82
2019-05-03,09:00-12:00,5.0,1958.83,1953.83
2019-05-03,12:00-15:00,3.339999999999918,1958.37,1955.03
2019-05-03,15:00-21:00,10.180000000000064,1964.05,1953.87
2019-05-03,21:00-24:00,8.1099999999999,1968.6,1960.49
2019-05-03,00:00-03:00,7.210000000000036,1979.31,1972.1
2019-05-03,03:00-07:00,26.970000000000027,1978.79,1951.82
2019-05-04,07:00-09:00,27.069999999999936,1984.07,1957.0
2019-05-04,09:00-12:00,0.0,,
2019-05-04,12:00-15:00,0.0,,
2019-05-04,15:00-21:00,0.0,,
2019-05-04,21:00-24:00,0.0,,
2019-05-04,00:00-03:00,4.7999999999999545,1968.18,1963.38
2019-05-04,03:00-07:00,8.910000000000082,1966.71,1957.8
2019-05-06,07:00-09:00,0.0,,
2019-05-06,09:00-12:00,10.100000000000136,1983.15,1973.05
2019-05-06,12:00-15:00,8.0,1982.14,1974.14
2019-05-06,15:00-21:00,6.0499999999999545,1982.21,1976.16
2019-05-06,21:00-24:00,7.410000000000082,1978.52,1971.11
2019-05-06,00:00-03:00,0.0,,
2019-05-06,03:00-07:00,0.0,,
2019-05-07,07:00-09:00,6.6099999999999,1975.37,1968.76
2019-05-07,09:00-12:00,5.369999999999891,1978.83,1973.46
2019-05-07,12:00-15:00,4.480000000000018,1975.71,1971.23
2019-05-07,15:00-21:00,12.370000000000118,1972.46,1960.09
2019-05-07,21:00-24:00,9.170000000000073,1964.48,1955.31
2019-05-07,00:00-03:00,8.299999999999955,1982.52,1974.22
2019-05-07,03:00-07:00,11.599999999999909,1980.36,1968.76
2019-05-08,07:00-09:00,10.36999999999989,1974.58,1964.21
2019-05-08,09:00-12:00,6.220000000000027,1977.58,1971.36
2019-05-08,12:00-15:00,3.4299999999998363,1977.58,1974.15
2019-05-08,15:00-21:00,5.9099999999998545,1978.54,1972.63
2019-05-08,21:00-24:00,9.8900000000001,1980.45,1970.56
2019-05-08,00:00-03:00,7.100000000000136,1961.21,1954.11
2019-05-08,03:00-07:00,19.060000000000173,1973.38,1954.32
2019-05-09,07:00-09:00,15.370000000000118,1971.99,1956.62
2019-05-09,09:00-12:00,8.490000000000009,1965.11,1956.62
2019-05-09,12:00-15:00,8.189999999999827,1965.11,1956.92
2019-05-09,15:00-21:00,6.870000000000118,1961.72,1954.85
2019-05-09,21:00-24:00,6.5,1961.3,1954.8
2019-05-09,00:00-03:00,6.9500000000000455,1977.67,1970.72
2019-05-09,03:00-07:00,18.420000000000073,1985.19,1966.77
2019-05-10,07:00-09:00,8.730000000000018,1951.55,1942.82
2019-05-10,09:00-12:00,2.7999999999999545,1944.93,1942.13
2019-05-10,12:00-15:00,5.25,1944.02,1938.77
2019-05-10,15:00-21:00,12.179999999999836,1948.82,1936.64
2019-05-10,21:00-24:00,5.460000000000036,1952.32,1946.86
2019-05-10,00:00-03:00,5.580000000000155,1964.66,1959.08
